CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Bemidji, MN",13420,1/02/2022,41.0,Good,PM2.5,27-007-2304,1
"Americus, GA",11140,17/03/2022,43.0,Good,Ozone,13-261-1001,1
"Ogden-Clearfield, UT",36260,16/10/2022,57.0,Moderate,PM10,49-057-1003,2
"Charlottesville, VA",16820,9/03/2022,33.0,Good,Ozone,51-003-0001,1
"Visalia-Porterville, CA",47300,25/01/2022,92.0,Moderate,PM2.5,06-107-2003,3
"La Grande, OR",29260,3/06/2022,17.0,Good,PM2.5,41-061-0123,2
"Payson, AZ",37740,27/04/2022,71.0,Moderate,Ozone,04-007-0010,4
"McAllen-Edinburg-Mission, TX",32580,4/06/2022,39.0,Good,Ozone,48-215-0043,2
"Quincy, IL-MO",39500,22/03/2022,42.0,Good,Ozone,17-001-0007,1
"Scranton--Wilkes-Barre--Hazleton, PA",42540,28/09/2022,12.0,Good,pm,42-069-2006,1
"Lafayette, LA",29180,21/04/2022,43.0,Good,Ozone,22-099-0001,2
"Racine, WI",39540,11/07/2022,45.0,Good,Ozone,55-101-0020,1
"Indianapolis-Carmel-Anderson, IN",26900,19/02/2022,41.0,Good,NO2,18-097-0087,15
"Louisville/Jefferson County, KY-IN",31140,1/06/2022,,Good,PM2.5,18-019-0010,5
"Kennewick-Richland, WA",28420,9/05/2022,38.0,Good,Ozone,53-005-0003,3
"Ithaca, NY",27060,1/06/2022,41.0,Good,Ozone,36-109-9991,1
"Houma-Thibodaux, LA",26380,2/08/2022,23.0,Good,Ozone,22-057-0004,1
"Tucson, AZ",46060,9/02/2022,44.0,Good,Ozone,04-019-1030,15
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,26/05/2022,31.0,Good,,51-650-0008,5
"Tyler, TX",46340,5/05/2022,38.0,Good,Ozone,48-423-0007,1
"Baton Rouge, LA",12940,12/07/2022,50.0,Good,PM2.5,22-063-0002,9
"Hattiesburg, MS",25620,19/03/2022,28.0,Good,PM2.5,28-035-0004,1
"The Dalles, OR",45520,22/02/2022,13.0,Good,PM2.5,41-065-0007,1
"Red Wing, MN",39860,7/05/2022,48.0,Good,Ozone,27-049-5302,1
"Parkersburg-Vienna, WV",37620,19/02/2022,19.0,Good,PM2.5,54-107-1002,1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,7/01/2022,46.0,Good,PM2.5,24-031-3001,14
"State College, PA",44300,30/03/2022,52.0,Moderate,PM2.5,42-027-0100,2
"Springfield, IL",44100,16/09/2022,46.0,Good,Ozone,17-167-0014,2
"Ithaca, NY",27060,1/01/2022,17.0,Good,Ozone,36-109-9991,1
"Bishop, CA",13860,7/08/2022,67.0,Moderate,Ozone,06-027-1023,3
"Knoxville, TN",28940,26/01/2022,50.0,Good,PM2.5,47-093-1017,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,30/01/2022,66.0,Moderate,PM2.5,42-101-0075,15
"Meridian, MS",32940,20/03/2022,46.0,Good,Ozone,28-075-0003,1
"Tyler, TX",46340,7/08/2022,32.0,Good,Ozone,48-423-0007,1
"Madison, WI",31540,5/06/2022,49.0,Good,Ozone,55-025-0041,3
"Bend-Redmond, OR",13460,28/02/2022,8.0,Good,PM2.5,41-017-0120,2
"Centralia, WA",16500,1/07/2022,14.0,Good,,53-041-0004,1
"Pueblo, CO",39380,10/04/2022,41.0,Good,PM10,08-101-0015,1
"Gainesville, GA",23580,22/03/2022,46.0,Good,PM2.5,13-139-0003,1
"Elkhart-Goshen, IN",21140,15/06/2022,105.0,Unhealthy for Sensitive Groups,PM2.5,18-039-0008,2
"Albuquerque, NM",10740,3/09/2022,46.0,Good,Ozone,35-061-0008,2
"State College, PA",44300,19/07/2022,52.0,Moderate,PM2.5,42-027-0100,2
"Williamsport, PA",48700,3/02/2022,57.0,Moderate,PM2.5,42-081-0419,1
"Canton-Massillon, OH",15940,23/01/2022,45.0,Good,PM2.5,39-151-0020,2
"Olympia-Tumwater, WA",36500,12/05/2022,37.0,Good,Ozone,53-067-0013,1
"Jackson, WY-ID",27220,16/07/2022,45.0,Good,Ozone,56-039-0008,4
"New Haven-Milford, CT",35300,9/04/2022,41.0,Good,Ozone,09-009-9002,3
"Longview, WA",31020,20/02/2022,7.0,Good,PM2.5,53-015-0015,1
"Atlanta-Sandy Springs-Roswell, GA",12060,5/02/2022,34.0,Good,Ozone,13-089-0002,5
"Lebanon, PA",30140,8/04/2022,38.0,Good,Ozone,42-075-0101,1
"Ponce, PR",38660,13/01/2022,35.0,Good,PM10,72-113-0004,1
"Joplin, MO",27900,26/02/2022,19.0,Good,PM10,29-097-0003,1
"Monroe, LA",33740,9/02/2022,45.0,Good,Ozone,22-073-0004,1
"New Castle, IN",35220,15/03/2022,34.0,Good,PM2.5,18-065-0003,1
"Flagstaff, AZ",22380,30/04/2022,54.0,Moderate,Ozone,04-005-1008,1
"Gulfport-Biloxi-Pascagoula, MS",25060,16/04/2022,30.0,Good,PM2.5,28-047-0008,3
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,4/07/2022,127.0,Unhealthy for Sensitive Groups,PM2.5,36-029-0005,5
"Blacksburg-Christiansburg-Radford, VA",13980,28/04/2022,45.0,Good,Ozone,51-071-9992,1
"Bridgeport-Stamford-Norwalk, CT",14860,18/03/2022,51.0,Moderate,Ozone,09-001-1123,5
"Washington Court House, OH",47920,13/04/2022,37.0,Good,Ozone,39-047-9991,1
"Price, UT",39220,30/07/2022,44.0,Good,Ozone,49-007-1003,1
"Austin-Round Rock, TX",12420,7/04/2022,43.0,Good,Ozone,48-453-0020,4
"Hattiesburg, MS",25620,10/07/2022,31.0,Good,PM2.5,28-035-0004,1
"Ogden-Clearfield, UT",36260,15/04/2022,38.0,Good,Ozone,49-057-1003,2
"Grand Island, NE",24260,1/02/2022,18.0,Good,PM2.5,31-079-0005,1
"Albany, GA",10500,29/07/2022,20.0,Good,PM2.5,13-095-0007,1
"Mobile, AL",33660,25/05/2022,35.0,Good,PM2.5,01-097-0003,2
"Sebastian-Vero Beach, FL",42680,2/07/2022,22.0,Good,Ozone,12-061-9991,1
"St. Cloud, MN",41060,23/04/2022,47.0,Good,PM2.5,27-145-3052,1
"Wabash, IN",47340,13/02/2022,33.0,Good,Ozone,18-169-9991,1
"McAllen-Edinburg-Mission, TX",32580,25/03/2022,67.0,Moderate,Ozone,48-215-0043,1
"Columbus, GA-AL",17980,8/01/2022,38.0,Good,PM2.5,13-215-0008,3
"Fort Smith, AR-OK",22900,28/01/2022,33.0,Good,PM2.5,40-135-9021,1
"Hattiesburg, MS",25620,6/05/2022,25.0,Good,PM2.5,28-035-0004,1
"Allentown-Bethlehem-Easton, PA-NJ",10900,27/01/2022,62.0,Moderate,PM2.5,42-077-0004,3
"Fernley, NV",22280,23/03/2022,35.0,Good,Ozone,32-019-0006,1
"Longview, WA",31020,7/04/2022,19.0,Good,PM2.5,53-015-0015,1
"McAllen-Edinburg-Mission, TX",32580,21/02/2022,43.0,Good,PM2.5,48-215-0043,1
"Moses Lake, WA",34180,16/05/2022,10.0,Good,PM2.5,53-025-1002,2
"Chambersburg-Waynesboro, PA",16540,21/06/2022,64.0,Moderate,Ozone,42-055-0001,1
"Fargo, ND-MN",22020,24/07/2022,21.0,Good,Ozone,38-017-1004,1
"Huntington-Ashland, WV-KY-OH",26580,16/04/2022,45.0,Good,Ozone,21-019-0017,5
"York-Hanover, PA",49620,29/06/2022,58.0,Moderate,Ozone,42-133-0011,2
"Scottsbluff, NE",42420,20/10/2022,13.0,Good,PM2.5,31-157-0004,1
"Greenville-Anderson-Mauldin, SC",24860,11/07/2022,38.0,Good,Ozone,45-045-0016,3
"Yuba City, CA",49700,17/04/2022,54.0,Moderate,Ozone,06-101-0004,2
"Orlando-Kissimmee-Sanford, FL",36740,18/05/2022,77.0,Moderate,Ozone,12-095-0010,5
"Butte-Silver Bow, MT",15580,2/04/2022,19.0,Good,PM10,30-093-0005,1
"Victoria, TX",47020,28/06/2022,47.0,Good,Ozone,48-469-0003,1
"Brunswick, GA",15260,9/04/2022,35.0,Good,Ozone,13-127-0006,1
"Houma-Thibodaux, LA",26380,15/07/2022,25.0,Good,PM2.5,22-057-0004,1
"Tallahassee, FL",45220,29/04/2022,68.0,Moderate,PM2.5,12-073-0012,2
"Wilmington, NC",48900,17/05/2022,46.0,Good,Ozone,37-129-0002,1
"Sayre, PA",42380,4/03/2022,39.0,Good,Ozone,42-015-0011,1
"Moses Lake, WA",34180,7/02/2022,50.0,Good,PM2.5,53-025-1002,2
"Augusta-Waterville, ME",12300,22/05/2022,42.0,Good,Ozone,23-011-2001,1
"Kalamazoo-Portage, MI",28020,30/04/2022,43.0,Good,Ozone,26-077-0008,1
"Brownsville-Harlingen, TX",15180,25/01/2022,36.0,Good,Ozone,48-061-1023,2
"Charlotte-Concord-Gastonia, NC-SC",16740,16/06/2022,74.0,Moderate,Ozone,37-119-0046,9
"Cleveland-Elyria, OH",17460,14/08/2022,51.0,Moderate,Ozone,39-085-0003,12
"Rockford, IL",40420,16/06/2022,58.0,Moderate,Ozone,17-201-2001,2
"Michigan City-La Porte, IN",33140,14/06/2022,80.0,Moderate,Ozone,18-091-0005,1
"San Jose-Sunnyvale-Santa Clara, CA",41940,28/02/2022,55.0,Moderate,PM2.5,06-085-0006,8
"Akron, OH",10420,17/01/2022,32.0,Good,PM2.5,39-153-0023,3
"Fort Wayne, IN",23060,20/04/2022,36.0,Good,,18-003-0002,2
"Syracuse, NY",45060,22/04/2022,36.0,Good,Ozone,36-067-1015,1
"Bowling Green, KY",14540,19/06/2022,48.0,Good,Ozone,21-227-0009,2
"Ponce, PR",38660,28/04/2022,21.0,Good,PM10,72-113-0004,1
"Hanford-Corcoran, CA",25260,24/09/2022,100.0,Moderate,Ozone,06-031-0500,1
"Effingham, IL",20820,17/09/2022,43.0,Good,Ozone,17-049-1001,1
"Jacksonville, FL",27260,24/01/2022,47.0,Good,PM2.5,12-031-0108,7
"Atlantic City-Hammonton, NJ",12100,13/06/2022,43.0,Good,,34-001-1006,2
"Corvallis, OR",18700,1/04/2022,20.0,Good,PM2.5,41-003-0013,1
"Vallejo-Fairfield, CA",46700,31/03/2022,34.0,Good,Ozone,06-095-3003,3
"Hagerstown-Martinsburg, MD-WV",25180,20/02/2022,13.0,Good,PM2.5,24-043-0009,1
"San Diego-Carlsbad, CA",41740,3/06/2022,57.0,Moderate,PM2.5,06-073-1201,3
"Wabash, IN",47340,20/03/2022,41.0,Good,Ozone,18-169-9991,1
"Kennewick-Richland, WA",28420,6/06/2022,32.0,Good,Ozone,53-005-0003,3
"Lewiston-Auburn, ME",30340,18/03/2022,47.0,Good,Ozone,23-001-0014,2
"The Dalles, OR",45520,26/03/2022,15.0,Good,PM2.5,41-065-0007,1
"Iowa City, IA",26980,24/07/2022,,Good,PM2.5,19-103-2001,1
"Waterloo-Cedar Falls, IA",47940,19/07/2022,44.0,Good,Ozone,19-017-0011,2
"Manitowoc, WI",31820,11/07/2022,42.0,Good,Ozone,55-071-0007,1
"Florence, SC",22500,11/02/2022,,Moderate,PM2.5,45-041-0003,1
"Fallon, NV",21980,12/03/2022,44.0,Good,Ozone,32-001-0002,1
"Fayetteville, NC",22180,20/09/2022,47.0,Good,Ozone,37-051-0010,2
"Indianapolis-Carmel-Anderson, IN",26900,25/05/2022,38.0,Good,PM2.5,18-097-0081,12
"Little Rock-North Little Rock-Conway, AR",30780,17/08/2022,26.0,Good,PM2.5,05-119-0007,1
"Boulder, CO",14500,27/02/2022,50.0,Good,PM2.5,08-013-0003,2
"Pittsburgh, PA",38300,17/10/2022,16.0,Good,PM10,42-007-0014,3
"Baltimore-Columbia-Towson, MD",12580,9/06/2022,51.0,Moderate,Ozone,24-025-9001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,22/04/2022,58.0,Moderate,PM2.5,13-135-0002,11
"Centralia, WA",16500,10/04/2022,7.0,Good,PM2.5,53-041-0004,1
"Charleston-North Charleston, SC",16700,9/04/2022,32.0,Good,Ozone,45-019-0046,6
"Elko, NV",21220,4/04/2022,60.0,Moderate,PM10,32-007-0005,1
"Dayton, OH",19380,19/07/2022,58.0,Moderate,PM2.5,39-113-0038,5
"Trenton, NJ",45940,8/03/2022,41.0,Good,Ozone,34-021-9991,3
"Mount Vernon, IL",34500,17/01/2022,42.0,Good,,17-065-0002,1
"Peoria, IL",37900,19/03/2022,31.0,Good,Ozone,17-143-1001,3
"Rutland, VT",40860,26/05/2022,35.0,Good,Ozone,50-021-0002,1
"San Jose-Sunnyvale-Santa Clara, CA",41940,28/05/2022,31.0,Good,Ozone,06-085-2006,8
"Tallahassee, FL",45220,11/01/2022,36.0,Good,Ozone,12-073-0012,2
"St. George, UT",41100,1/02/2022,41.0,Good,Ozone,49-053-0130,2
"Centralia, WA",16500,18/04/2022,10.0,Good,PM2.5,53-041-0004,1
"Arkadelphia, AR",11660,23/06/2022,44.0,Good,Ozone,05-019-9991,1
"Redding, CA",39820,23/04/2022,41.0,Good,Ozone,06-089-3003,2
"Los Angeles-Long Beach-Anaheim, CA",31080,9/02/2022,95.0,Moderate,NO2,06-037-4008,20
"St. Louis, MO-IL",41180,16/06/2022,73.0,Moderate,PM2.5,17-119-3007,21
"Hagerstown-Martinsburg, MD-WV",25180,1/01/2022,29.0,Good,PM2.5,24-043-0009,1
"San Diego-Carlsbad, CA",41740,6/06/2022,33.0,Good,PM2.5,06-073-1201,3
"Jamestown-Dunkirk-Fredonia, NY",27460,17/01/2022,37.0,Good,Ozone,36-013-0006,1
"Rochester, NY",40380,29/03/2022,39.0,Good,Ozone,36-117-3001,3
"Jackson, MS",27140,23/05/2022,29.0,Good,Ozone,28-049-0020,2
"Monroe, LA",33740,31/01/2022,44.0,Good,Ozone,22-073-0004,1
"Janesville-Beloit, WI",27500,31/07/2022,39.0,Good,Ozone,55-105-0030,1
"Springfield, IL",44100,25/04/2022,31.0,Good,Ozone,17-167-0014,2
"Truckee-Grass Valley, CA",46020,15/04/2022,39.0,Good,Ozone,06-057-0005,2
"Montgomery, AL",33860,24/01/2022,44.0,Good,PM2.5,01-101-1002,1
"Lima, OH",30620,19/07/2022,51.0,Moderate,Ozone,39-003-0009,1
"Flagstaff, AZ",22380,6/03/2022,45.0,Good,Ozone,04-005-1008,2
"Kingsville, TX",28780,8/07/2022,48.0,Good,PM2.5,48-273-0314,1
"Fairmont, WV",21900,29/04/2022,26.0,Good,PM2.5,54-049-0006,1
"Yuma, AZ",49740,1/07/2022,47.0,Good,Ozone,04-027-8011,1
"Cape Coral-Fort Myers, FL",15980,8/02/2022,45.0,Good,PM2.5,12-071-0005,2
"Knoxville, TN",28940,31/03/2022,47.0,Good,Ozone,47-009-0102,9
"Fort Wayne, IN",23060,12/05/2022,61.0,Moderate,Ozone,18-003-0002,2
"Mayaguez, PR",32420,17/03/2022,35.0,Good,PM2.5,72-097-0007,1
"Harrison, AR",25460,13/06/2022,26.0,Good,,05-101-0002,1
"Dodge City, KS",19980,14/02/2022,,Good,PM10,20-057-0002,1
"Phoenix-Mesa-Scottsdale, AZ",38060,15/07/2022,147.0,Unhealthy for Sensitive Groups,Ozone,04-013-1003,26
"Sioux City, IA-NE-SD",43580,6/08/2022,48.0,Good,PM2.5,19-193-0021,1
"Florence, SC",22500,24/01/2022,30.0,Good,PM2.5,45-041-0003,1
"Erie, PA",21500,3/03/2022,35.0,Good,Ozone,42-049-0003,1
"Lakeland-Winter Haven, FL",29460,19/05/2022,57.0,Moderate,PM2.5,12-105-6006,2
"Chattanooga, TN-GA",16860,16/02/2022,64.0,Moderate,PM2.5,47-065-4002,3
"Owensboro, KY",36980,8/04/2022,31.0,Good,Ozone,21-091-0012,2
"Minot, ND",33500,10/01/2022,32.0,Good,Ozone,38-101-0003,1
"Watertown-Fort Atkinson, WI",48020,19/04/2022,40.0,Good,,55-055-0009,1
"Milwaukee-Waukesha-West Allis, WI",33340,2/01/2022,37.0,Good,Ozone,55-079-0068,5
"Las Cruces, NM",29740,19/02/2022,80.0,Moderate,PM2.5,35-013-0021,9
"St. Marys, PA",41260,4/08/2022,31.0,Good,Ozone,42-047-9991,1
"Klamath Falls, OR",28900,3/02/2022,67.0,Moderate,PM2.5,41-035-0004,1
"Lansing-East Lansing, MI",29620,28/05/2022,34.0,Good,,26-037-0002,2
"Stockton-Lodi, CA",44700,26/01/2022,84.0,Moderate,PM2.5,06-077-2010,3
"Longview, TX",30980,4/04/2022,39.0,Good,Ozone,48-183-0001,1
"Naples-Immokalee-Marco Island, FL",34940,10/03/2022,43.0,Good,PM2.5,12-021-0004,1
"Ithaca, NY",27060,3/04/2022,36.0,Good,Ozone,36-109-9991,1
"Cincinnati, OH-KY-IN",17140,25/08/2022,64.0,Moderate,Ozone,39-165-0007,12
"Hanford-Corcoran, CA",25260,21/10/2022,97.0,Moderate,Ozone,06-031-0500,1
"Madera, CA",31460,1/02/2022,76.0,Moderate,,06-039-2010,2
"Greeley, CO",24540,5/02/2022,47.0,Good,Ozone,08-123-0013,3
"Des Moines-West Des Moines, IA",19780,11/04/2022,44.0,Good,Ozone,19-153-1579,3
"Greensboro-High Point, NC",24660,5/02/2022,22.0,Good,PM2.5,37-081-0013,1
"Janesville-Beloit, WI",27500,29/07/2022,26.0,Good,Ozone,55-105-0030,1
"Grand Junction, CO",24300,5/01/2022,89.0,Moderate,PM2.5,08-077-0017,2
"Missoula, MT",33540,23/02/2022,,Moderate,PM2.5,30-063-0038,3
"Mount Vernon, IL",34500,20/01/2022,22.0,Good,PM2.5,17-065-0002,1
"Hermiston-Pendleton, OR",25840,14/02/2022,38.0,Good,,41-059-1003,2
"Hammond, LA",25220,23/01/2022,35.0,Good,PM2.5,22-105-0001,1
"St. George, UT",41100,10/08/2022,47.0,Good,Ozone,49-053-0007,1
"Burlington-South Burlington, VT",15540,24/05/2022,33.0,Good,Ozone,50-007-0007,2
"Omaha-Council Bluffs, NE-IA",36540,2/08/2022,49.0,Good,Ozone,31-055-0053,6
"Watertown, SD",47980,20/03/2022,38.0,Good,Ozone,46-029-0002,1
"Salt Lake City, UT",41620,15/02/2022,40.0,Good,NO2,49-035-3006,9
"Helena, MT",25740,2/05/2022,44.0,Good,Ozone,30-049-0004,2
"Bozeman, MT",14580,29/08/2022,11.0,Good,PM2.5,30-031-0019,1
"Corsicana, TX",P34940,20/03/2022,51.0,Moderate,Ozone,48-349-1051,1
"Atlantic City-Hammonton, NJ",12100,11/09/2022,22.0,Good,Ozone,34-001-0006,2
"Scottsbluff, NE",42420,23/03/2022,3.0,Good,PM2.5,31-157-0004,1
"Michigan City-La Porte, IN",33140,11/05/2022,66.0,Moderate,PM2.5,18-091-0011,3
"Lake City, FL",29380,5/05/2022,39.0,Good,PM2.5,12-023-0002,1
"Gainesville, FL",23540,3/05/2022,41.0,Good,Ozone,12-001-3012,1
"Dalton, GA",19140,2/03/2022,67.0,Moderate,Ozone,13-213-0003,1
"Chico, CA",17020,29/06/2022,74.0,Moderate,Ozone,06-007-0007,4
"Dayton, OH",19380,21/03/2022,45.0,Good,Ozone,39-109-0005,5
"Minot, ND",33500,21/09/2022,25.0,Good,Ozone,38-101-0003,1
"St. Joseph, MO-KS",41140,28/04/2022,51.0,Moderate,Ozone,29-003-0001,2
"Marshall, TX",32220,7/07/2022,36.0,Good,Ozone,48-203-0002,1
"Amarillo, TX",11100,14/08/2022,64.0,Moderate,Ozone,48-381-9991,2
"Jamestown-Dunkirk-Fredonia, NY",27460,27/08/2022,31.0,Good,Ozone,36-013-0006,1
"Springfield, MO",44180,24/05/2022,30.0,Good,Ozone,29-077-0042,2
"Palatka, FL",37260,19/04/2022,16.0,Good,PM10,12-107-1008,1
"Hattiesburg, MS",25620,5/04/2022,28.0,Good,PM2.5,28-035-0004,1
"Baraboo, WI",12660,12/04/2022,48.0,Good,Ozone,55-111-0007,1
"Redding, CA",39820,20/02/2022,45.0,Good,Ozone,06-089-3003,1
"Gardnerville Ranchos, NV",23820,19/06/2022,6.0,Good,PM2.5,32-005-0007,1
"Hanford-Corcoran, CA",25260,23/01/2022,89.0,Moderate,PM2.5,06-031-1004,3
"Tallahassee, FL",45220,24/04/2022,38.0,Good,PM2.5,12-073-0012,2
"Augusta-Richmond County, GA-SC",12260,16/07/2022,38.0,Good,Ozone,45-037-0001,4
"Clarksville, TN-KY",17300,10/03/2022,45.0,Good,Ozone,21-221-9991,3
"Brownsville-Harlingen, TX",15180,12/01/2022,29.0,Good,Ozone,48-061-1023,3
"Baltimore-Columbia-Towson, MD",12580,9/04/2022,38.0,Good,Ozone,24-025-9001,9
"New Haven-Milford, CT",35300,4/04/2022,42.0,Good,Ozone,09-009-9002,2
"Idaho Falls, ID",26820,4/04/2022,45.0,Good,Ozone,16-023-0101,2
"Mayaguez, PR",32420,1/05/2022,65.0,Moderate,PM2.5,72-097-0007,1
"Harrisburg-Carlisle, PA",25420,9/07/2022,43.0,Good,PM2.5,42-043-0401,3
"Minot, ND",33500,7/02/2022,35.0,Good,Ozone,38-101-0003,1
"Bloomington, IN",14020,20/01/2022,32.0,Good,PM2.5,18-105-0003,2
"Hartford-West Hartford-East Hartford, CT",25540,15/02/2022,36.0,Good,NO2,09-003-0025,2
"Savannah, GA",42340,6/08/2022,24.0,Good,PM2.5,13-051-1002,2
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,4/01/2022,38.0,Good,PM2.5,06-079-8002,9
"Sacramento--Roseville--Arden-Arcade, CA",40900,19/03/2022,44.0,Good,Ozone,06-061-1004,11
"York-Hanover, PA",49620,17/04/2022,36.0,Good,Ozone,42-133-0011,2
"Clinton, IA",17540,29/05/2022,49.0,Good,Ozone,19-045-0021,2
"Muncie, IN",34620,28/01/2022,33.0,Good,Ozone,18-035-0010,1
"Boise City, ID",14260,26/02/2022,37.0,Good,Ozone,16-001-0010,6
"Norwich-New London, CT",35980,13/02/2022,24.0,Good,PM2.5,09-011-0124,1
"Bangor, ME",12620,12/09/2022,40.0,Good,PM2.5,23-019-0017,2
"Harrisonburg, VA",25500,28/05/2022,31.0,Good,Ozone,51-165-0003,1
"Lewiston, ID-WA",30300,29/05/2022,14.0,Good,PM2.5,16-069-0012,3
"State College, PA",44300,26/04/2022,38.0,Good,PM2.5,42-027-0100,2
"Savannah, GA",42340,31/01/2022,,Moderate,PM2.5,13-051-1002,1
"Corvallis, OR",18700,21/06/2022,23.0,Good,PM2.5,41-003-0013,1
"Greeley, CO",24540,20/06/2022,97.0,Moderate,Ozone,08-123-0009,3
"Naples-Immokalee-Marco Island, FL",34940,11/01/2022,37.0,Good,Ozone,12-021-0004,1
"Elizabethtown-Fort Knox, KY",21060,5/02/2022,45.0,Good,PM2.5,21-093-0006,1
"Durango, CO",20420,3/07/2022,42.0,Good,Ozone,08-067-7001,3
"Bismarck, ND",13900,24/08/2022,51.0,Moderate,PM2.5,38-065-0002,2
"Alexandria, LA",10780,1/02/2022,17.0,Good,PM2.5,22-079-0002,1
"Marshall, MN",32140,31/01/2022,39.0,Good,PM2.5,27-083-4210,1
"Daphne-Fairhope-Foley, AL",19300,5/06/2022,42.0,Good,Ozone,01-003-0010,1
"Berlin, NH-VT",13620,9/06/2022,27.0,Good,,33-007-4002,1
"Arkadelphia, AR",11660,20/06/2022,40.0,Good,Ozone,05-019-9991,1
"Rutland, VT",40860,15/01/2022,,Good,PM2.5,50-021-0002,1
"Anchorage, AK",11260,7/05/2022,27.0,Good,PM10,02-020-0045,4
"Macon, GA",31420,4/09/2022,16.0,Good,Ozone,13-021-0012,1
"Gadsden, AL",23460,30/03/2022,49.0,Good,Ozone,01-055-0011,2
"Colorado Springs, CO",17820,17/04/2022,46.0,Good,Ozone,08-041-0013,4
"Erie, PA",21500,3/04/2022,36.0,Good,Ozone,42-049-0003,1
"Bismarck, ND",13900,19/09/2022,48.0,Good,PM2.5,38-015-0003,2
"Farmington, NM",22140,3/05/2022,78.0,Moderate,PM10,35-045-1005,5
"Yuba City, CA",49700,23/03/2022,52.0,Moderate,PM2.5,06-101-0003,1
"Lincoln, NE",30700,26/04/2022,44.0,Good,Ozone,31-109-0016,2
"Trenton, NJ",45940,24/04/2022,45.0,Good,Ozone,34-021-0005,3
"Riverside-San Bernardino-Ontario, CA",40140,29/03/2022,57.0,Moderate,PM2.5,06-065-2002,28
"El Centro, CA",20940,25/01/2022,60.0,Moderate,PM2.5,06-025-0005,6
"Port Angeles, WA",38820,2/04/2022,40.0,Good,Ozone,53-009-0013,3
"Boulder, CO",14500,17/03/2022,41.0,Good,Ozone,08-013-0014,2
"Port St. Lucie, FL",38940,14/01/2022,,Good,Ozone,12-111-0013,2
"Dalton, GA",19140,25/05/2022,21.0,Good,Ozone,13-213-0003,1
"Cleveland, MS",17380,5/02/2022,38.0,Good,PM2.5,28-011-0002,1
"Louisville/Jefferson County, KY-IN",31140,17/06/2022,49.0,Good,PM2.5,18-019-0010,5
"Brainerd, MN",14660,2/05/2022,36.0,Good,Ozone,27-035-3204,1
"Evansville, IN-KY",21780,2/02/2022,63.0,Moderate,PM2.5,18-163-0021,5
"Charlotte-Concord-Gastonia, NC-SC",16740,15/03/2022,45.0,Good,PM2.5,37-159-0021,9
"College Station-Bryan, TX",17780,24/05/2022,37.0,Good,PM2.5,48-041-1086,1
"Hattiesburg, MS",25620,1/08/2022,25.0,Good,PM2.5,28-035-0004,1
"Omaha-Council Bluffs, NE-IA",36540,17/02/2022,32.0,Good,Ozone,31-055-0019,4
"Scranton--Wilkes-Barre--Hazleton, PA",42540,24/02/2022,23.0,Good,PM2.5,42-069-2006,2
"Lewiston, ID-WA",30300,20/04/2022,19.0,Good,PM2.5,53-003-0004,3
"Syracuse, NY",45060,20/05/2022,43.0,Good,Ozone,36-067-1015,2
"Greenville-Anderson-Mauldin, SC",24860,30/06/2022,37.0,Good,Ozone,45-007-0006,3
"Show Low, AZ",43320,31/03/2022,44.0,Good,Ozone,04-017-0119,2
"Atlanta-Sandy Springs-Roswell, GA",12060,4/02/2022,23.0,Good,Ozone,13-089-0002,9
"Burlington-South Burlington, VT",15540,12/03/2022,44.0,Good,Ozone,50-007-0007,3
"Steamboat Springs, CO",44460,2/02/2022,16.0,Good,PM10,08-107-0003,1
"Las Vegas-Henderson-Paradise, NV",29820,27/06/2022,77.0,Moderate,Ozone,32-003-0073,16
"Kennewick-Richland, WA",28420,29/01/2022,58.0,Moderate,PM2.5,53-005-0002,2
"Kinston, NC",28820,5/08/2022,18.0,Good,Ozone,37-107-0004,1
"Clinton, IA",17540,3/04/2022,35.0,Good,PM2.5,19-045-0019,2
"Iowa City, IA",26980,13/01/2022,56.0,Moderate,PM2.5,19-103-2001,1
"McAlester, OK",32540,6/07/2022,44.0,Good,Ozone,40-121-0415,1
"Indiana, PA",26860,2/03/2022,48.0,Good,PM2.5,42-063-0004,1
"Trenton, NJ",45940,23/06/2022,32.0,Good,,34-021-0005,3
"Portland-South Portland, ME",38860,9/08/2022,30.0,Good,Ozone,23-031-0040,5
"Bloomington, IL",14010,8/02/2022,54.0,Moderate,PM2.5,17-113-2003,1
"Cedar Rapids, IA",16300,8/08/2022,26.0,Good,Ozone,19-113-0040,2
"Sebring, FL",42700,7/03/2022,35.0,Good,,12-055-0003,1
"Monroe, LA",33740,15/09/2022,51.0,Moderate,Ozone,22-073-0004,1
"Salinas, CA",41500,8/01/2022,28.0,Good,Ozone,06-053-0008,3
"Sebring, FL",42700,9/06/2022,20.0,Good,Ozone,12-055-0003,1
"Janesville-Beloit, WI",27500,6/06/2022,40.0,Good,Ozone,55-105-0030,1
"DuBois, PA",20180,16/03/2022,45.0,Good,Ozone,42-033-4000,1
"Fort Smith, AR-OK",22900,30/06/2022,58.0,Moderate,Ozone,40-135-9021,1
